ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
3004,15,28,dieBasis,"Kynast, Pierre",,Pierre,Kynast,1973,2,2,NA,74,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3005,3,21,DKP,"Lababidi, Tawfik",,Tawfik,Lababidi,1986,2,1,11,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3006,12,2,SPD,"Labahn, Stefan",,Stefan,Labahn,1996,2,1,17,NA,0,0,0,'null',0,1,Stefanskkii,872584394418081792,2,1,LabahnfuerGuben,1492664251040902,1,1
3007,5,18,MLPD,"Labatzki, Gerhard",,Gerhard,Labatzki,1954,2,1,19,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3008,8,6,GRÜNE,"Labbouz, Amal",,Amal,Labbouz,1995,1,1,50,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3009,4,6,GRÜNE,"Labetzke, Michael",,Michael,Labetzke,1970,2,3,2,55,0,0,0,'null',0,1,LabetzkeMichael,1352218136691564544,1,1,mlabetzke,689392407920573,1,1
3010,9,10,Tierschutzpartei,"Lachner, Karl",,Karl,Lachner,1966,2,1,15,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3011,9,5,"DIE LINKE","Lackerbauer, Veronika",,Veronika,Lackerbauer,1981,1,3,17,228,0,0,0,'null',0,1,VLackerbauer,4908944397,2,1,VLackerbauerPolitik,110724714444120,1,2
3012,9,34,LKR,"Laczynski, Tomasz Ryszard",,"Tomasz Ryszard",Laczynski,1974,2,1,16,NA,0,0,0,'null',0,1,TomaszLaczynski,1183402439652859906,2,1,TRLaczynski,108727297264945,3,2
3013,1,10,Tierschutzpartei,"Ladewig, Timo",,Timo,Ladewig,1997,2,1,8,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3014,5,38,"Team Todenhöfer","Laghmouch, Fouad",,Fouad,Laghmouch,1987,2,1,6,NA,0,0,0,'null',0,0,'null','null',0,1,100016404276086,100016404276086,3,2
3015,5,2,SPD,"Lahrkamp, Sarah",,Sarah,Lahrkamp,1981,1,3,24,124,0,1,2,'null',0,1,SLahrkamp,1238059203526307842,2,1,sarahlahrkamp,100177145458129,1,1
3016,8,1,CDU,"Lambrecht, Tom-Lukas",,Tom-Lukas,Lambrecht,1997,2,1,54,NA,0,0,0,'null',0,0,'null','null',0,1,tomlukas.lambrecht,100003373738500,3,2
3017,7,2,SPD,"Lambrich, Theresa",,Theresa,Lambrich,1996,1,1,18,NA,0,0,0,'null',0,0,'null','null',0,1,theresa.lambrich,100001880090606,3,2
3018,5,9,"Die PARTEI","Lam-chi, Anh",,Anh,Lam-chi,1983,1,1,50,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3019,6,3,AfD,"Lamely, Pierre",,Pierre,Lamely,1981,2,1,8,NA,0,0,0,'null',0,1,Pierre_Lamely,1019335337515126784,2,1,pierre.lamely,100000701549207,3,2
3020,5,6,GRÜNE,"Lammersmann, Bernhard Theodor",,"Bernhard Theodor",Lammersmann,1964,2,2,NA,126,0,0,0,'null',0,0,'null','null',0,1,100069700273341,100069700273341,3,2
3021,14,29,"Bündnis C","Lamowski, Thomas",,Thomas,Lamowski,1961,2,1,1,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
